ID,Nome,Tipo,Sub-Tipo,Local,Imagem,Descrição,Interconexão 1,Interconexão 2,Interconexão 3,Interconexão 4,Interconexão 5,Interconexão 6,Interconexão 7,Interconexão 8,Interconexão 9,Interconexão 10,Interconexão 11,Interconexão 12,Interconexão 13,Interconexão 14,Interconexão 15,Dados consolidados,Fonte da descrição
CH-0013,Álvaro Lins,Personagem,,,http://basilio.fundaj.gov.br/pesquisaescolar/images/stories/alvarolins.gif,"Álvaro de Barros Lins (Caruaru, 14 de dezembro de 1912 - Rio de Janeiro, 4 de junho de 1970) foi advogado, jornalista, diplomata, professor e crítico literário, que alcançou renome nacional, Foi membro da Academia Brasileira de Letras. Foi casado com Heloísa Ramos Lins, com quem teve dois filhos. Publicou mais de 30 obras, entre as quais No mundo do romance policial (1947), Os mortos de sobrecasaca (1963), Filosofia, história e crítica na literatura brasileira (1967). Ganhou vários prémios literários, entre os quais o Jabuti, como Personalidade do Ano (1960), por sua obra Missão em Portugal.",Faculdade de Direito do Recife,Mário Melo,,,,,,,,,,,,,,"CH-0013 — Álvaro Lins
Classificação: Personagem
Descrição: Álvaro de Barros Lins (Caruaru, 14 de dezembro de 1912 - Rio de Janeiro, 4 de junho de 1970) foi advogado, jornalista, diplomata, professor e crítico literário, que alcançou renome nacional, Foi membro da Academia Brasileira de Letras. Foi casado com Heloísa Ramos Lins, com quem teve dois filhos. Publicou mais de 30 obras, entre as quais No mundo do romance policial (1947), Os mortos de sobrecasaca (1963), Filosofia, história e crítica na literatura brasileira (1967). Ganhou vários prémios literários, entre os quais o Jabuti, como Personalidade do Ano (1960), por sua obra Missão em Portugal.
Interconexões: Faculdade de Direito do Recife; Mário Melo",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
CH-0014,Amaury de Medeiros,Personagem,,,http://www.fernandomachado.blog.br/novo/wp-content/uploads/2015/01/amaury-de-medeiros3.jpg,"Amaury de Medeiros (Recife, 7 de dezembro de 1893 - Rio de Janeiro, 3 de dezembro de 1928), foi um médico sanitarista, político e professor de medicina brasileiro. Nasceu no bairro do Parnamirim. Foi aluno do Ginásio Pernambucano e se bacharelou em medicina no Rio de Janeiro. Em 1917 chefiou os serviços da Cruz Vermelha Brasileira. De 1922 a 1926, foi convidado pelo seu sogro e na época governador de Pernambuco Sérgio Loreto, para diretor do Departamento de Saúde e Assistência de Pernambuco (DSA).",Sérgio Loreto,,,,,,,,,,,,,,,"CH-0014 — Amaury de Medeiros
Classificação: Personagem
Descrição: Amaury de Medeiros (Recife, 7 de dezembro de 1893 - Rio de Janeiro, 3 de dezembro de 1928), foi um médico sanitarista, político e professor de medicina brasileiro. Nasceu no bairro do Parnamirim. Foi aluno do Ginásio Pernambucano e se bacharelou em medicina no Rio de Janeiro. Em 1917 chefiou os serviços da Cruz Vermelha Brasileira. De 1922 a 1926, foi convidado pelo seu sogro e na época governador de Pernambuco Sérgio Loreto, para diretor do Departamento de Saúde e Assistência de Pernambuco (DSA).
Interconexões: Sérgio Loreto",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
CH-0015,Aníbal Fernandes,Personagem,,,http://www.fernandomachado.blog.br/novo/wp-content/uploads/2016/02/anibal-fernandes.jpg,"Aníbal Gonçalves Fernandes foi professor, jornalista, oficial de gabinete do governo Sérgio Loreto, secretário de justiça e instrução, deputado estadual, mas sua maior paixão foi o jornalismo. Também foi membro da Academia Pernambucana de Letras e do Instituto Arqueológico, Histórico e Geográfico Pernambucano.",Diário de Pernambuco,Praça da Independência,Mário Melo,Sérgio Loreto,Demócrito de Souza Filho,,,,,,,,,,,"CH-0015 — Aníbal Fernandes
Classificação: Personagem
Descrição: Aníbal Gonçalves Fernandes foi professor, jornalista, oficial de gabinete do governo Sérgio Loreto, secretário de justiça e instrução, deputado estadual, mas sua maior paixão foi o jornalismo. Também foi membro da Academia Pernambucana de Letras e do Instituto Arqueológico, Histórico e Geográfico Pernambucano.
Interconexões: Diário de Pernambuco; Praça da Independência; Mário Melo; Sérgio Loreto; Demócrito de Souza Filho",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
CH-0016,Antônio de Góis,Personagem,,,https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_Gw3PJIvH67c9LmuGQj3YQfhEG9b-16OVDO17GlcD5e-pItmeUyXA7Btugd6L1LsYNyvEElOEtk_pGqyMzMRexzH-KFPUJrsUQck-zSlBrbinnNgyLl_Qa1TNPNqj68vYuXPcxKLd1W0VvlX8dJgQVNFYLplYyRt-HuqW_tk67GZzQcBX5fL6Rzi_exCq8LBMhYgyRjEja20Ag?fife=s16383,"Antônio de Góis Cavalcanti (? - ?) foi um engenheiro pernambucano e prefeito de Recife em duas administrações. A primeira administração ocorreu entre 1922 e 1925[carece de fontes], onde foram construídas a Praça do Derby[2] e a Praça do Entroncamento. Nessa administração também foi oficializado o hino do Recife[3]. A segunda administração foi entre 1931 e 1934[4]. Nessa administração foi construído o Mercado de Santo Amaro. Antonio de Góis, juntamente com outros dois engenheiros pernambucanos, foi o inventor do cobogó, elemento vazado inicialmente feito com cimento.",Palácio do Campo das Princesas,Mercado da Madalena,Aderbal Jurema,Ponte Duarte Coelho,Ponte da Capunga,Ariano Suassuna,Francisco do Rego Barros,Praça do Derby,Praça do Entroncamento,Mercado da Encruzilhada,Prefeitura do Recife,Invenção do Cobogó,,,,"CH-0016 — Antônio de Góis
Classificação: Personagem
Descrição: Antônio de Góis Cavalcanti (? - ?) foi um engenheiro pernambucano e prefeito de Recife em duas administrações. A primeira administração ocorreu entre 1922 e 1925[carece de fontes], onde foram construídas a Praça do Derby[2] e a Praça do Entroncamento. Nessa administração também foi oficializado o hino do Recife[3]. A segunda administração foi entre 1931 e 1934[4]. Nessa administração foi construído o Mercado de Santo Amaro. Antonio de Góis, juntamente com outros dois engenheiros pernambucanos, foi o inventor do cobogó, elemento vazado inicialmente feito com cimento.
Interconexões: Palácio do Campo das Princesas; Mercado da Madalena; Aderbal Jurema; Ponte Duarte Coelho; Ponte da Capunga; Ariano Suassuna; Francisco do Rego Barros; Praça do Derby; Praça do Entroncamento; Mercado da Encruzilhada; Prefeitura do Recife; Invenção do Cobogó",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
CH-0017,Antônio Farias,Personagem,,,http://fernandomachado.blog.br/wp-content/uploads/2012/11/antonio-farias.jpg,"Antônio Arruda de Farias (Surubim, 28 de novembro de 1932 — 13 de abril de 1988) foi um político e economista brasileiro. Foi prefeito de Recife, deputado estadual e deputado federal. Na vida privada, chegou a gerir uma usina de beneficiamento de algodão pertencente a seu pai, Severino Farias, em Surubim. Já na década de 1960 adquiriu, com outros sócios, a Usina Pedroza em Cortês, mata sul de Pernambuco. Tornou-se sócio majoritário na empresa e na década de 1970 iniciou o projeto de implantação da Destilaria Baia Formosa nos tabuleiros de Baia Formosa, no estado do Rio Grande do Norte. Na eleição de 1986 elegeu-se senador constituinte por Pernambuco. Veio a falecer no exercício do mandato quando integrava à época a comissão de sistematização da Assembleia Nacional Constituinte. Foi filiado a UDN, ARENA, PDS e PMB.",Prefeitura do Recife,João Gabriel,,,,,,,,,,,,,,"CH-0017 — Antônio Farias
Classificação: Personagem
Descrição: Antônio Arruda de Farias (Surubim, 28 de novembro de 1932 — 13 de abril de 1988) foi um político e economista brasileiro. Foi prefeito de Recife, deputado estadual e deputado federal. Na vida privada, chegou a gerir uma usina de beneficiamento de algodão pertencente a seu pai, Severino Farias, em Surubim. Já na década de 1960 adquiriu, com outros sócios, a Usina Pedroza em Cortês, mata sul de Pernambuco. Tornou-se sócio majoritário na empresa e na década de 1970 iniciou o projeto de implantação da Destilaria Baia Formosa nos tabuleiros de Baia Formosa, no estado do Rio Grande do Norte. Na eleição de 1986 elegeu-se senador constituinte por Pernambuco. Veio a falecer no exercício do mandato quando integrava à época a comissão de sistematização da Assembleia Nacional Constituinte. Foi filiado a UDN, ARENA, PDS e PMB.
Interconexões: Prefeitura do Recife; João Gabriel",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
CH-0018,Antônio Fernandes de Matos,Personagem,,,,"Antônio Fernandes de Matos (Moreira do Lima, 1640 - Recife, 1701) foi um mestre de obras, arquiteto e empresário português do Brasil colônia. Foi um dos responsáveis pelo grande surto construtivo ocorrido no Recife no final do século XVII",Capela Dourada,,,,,,,,,,,,,,,"CH-0018 — Antônio Fernandes de Matos
Classificação: Personagem
Descrição: Antônio Fernandes de Matos (Moreira do Lima, 1640 - Recife, 1701) foi um mestre de obras, arquiteto e empresário português do Brasil colônia. Foi um dos responsáveis pelo grande surto construtivo ocorrido no Recife no final do século XVII
Interconexões: Capela Dourada",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
CH-0019,Antônio Silvino,Personagem,,,https://tokdehistoria.files.wordpress.com/2013/11/i0028760-13px000379py001197-cc3b3pia-2.jpg,"Antônio Silvino ou Manoel Baptista de Morais (Afogados da Ingazeira, 2 de novembro de 1875 — Campina Grande, 30 de julho de 1944), foi um cangaceiro, filho de Pedro Baptista de Morais e Balbina Pereira de Morais. Faleceu em Campina Grande, em casa de uma prima, em 30 de julho de 1944.",Casa da Cultura,Cangaço,,,,,,,,,,,,,,"CH-0019 — Antônio Silvino
Classificação: Personagem
Descrição: Antônio Silvino ou Manoel Baptista de Morais (Afogados da Ingazeira, 2 de novembro de 1875 — Campina Grande, 30 de julho de 1944), foi um cangaceiro, filho de Pedro Baptista de Morais e Balbina Pereira de Morais. Faleceu em Campina Grande, em casa de uma prima, em 30 de julho de 1944.
Interconexões: Casa da Cultura; Cangaço",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
CH-0020,Ariano Suassuna,Personagem,,,https://s.ebiografia.com/assets/img/authors/ar/ia/ariano-suassuna-l.jpg,"Ariano Vilar Suassuna (Cidade da Parahyba,[1] 16 de junho de 1927 — Recife, 23 de julho de 2014) foi um dramaturgo, romancista, ensaísta, poeta e professor brasileiro.[2][3] Idealizador do Movimento Armorial e autor das obras Auto da Compadecida e O Romance d'A Pedra do Reino e o Príncipe do Sangue do Vai-e-Volta, foi um preeminente defensor da cultura do Nordeste do Brasil. Foi Secretário de Cultura de Pernambuco (1994-1998) e Secretário de Assessoria do governador Eduardo Campos até abril de 2014.[4]",Avenida 17 de Agosto,Antônio de Góis,Academia Pernambucana de Letras,,,,,,,,,,,,,"CH-0020 — Ariano Suassuna
Classificação: Personagem
Descrição: Ariano Vilar Suassuna (Cidade da Parahyba,[1] 16 de junho de 1927 — Recife, 23 de julho de 2014) foi um dramaturgo, romancista, ensaísta, poeta e professor brasileiro.[2][3] Idealizador do Movimento Armorial e autor das obras Auto da Compadecida e O Romance d'A Pedra do Reino e o Príncipe do Sangue do Vai-e-Volta, foi um preeminente defensor da cultura do Nordeste do Brasil. Foi Secretário de Cultura de Pernambuco (1994-1998) e Secretário de Assessoria do governador Eduardo Campos até abril de 2014.[4]
Interconexões: Avenida 17 de Agosto; Antônio de Góis; Academia Pernambucana de Letras",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
CH-0021,Arquivo Público,Local,Biblioteca,Santo Antônio,http://especiais.jconline.ne10.uol.com.br/revolucao-1817/assets/images/04-arquivo-publico-do-estado2-2000x1333-800x533.jpg,"O Arquivo Público guarda parte importante da história de Pernambuco em documentos, mapas, leis, jornais, livros e manuscritos preservados para garantir um futuro ao nosso passado. O acervo do Arquivo Público Estadual está em contínua expansão. E, para tornar o seu valioso conteúdo cada vez mais acessível, é preciso se manter em constante modernização.",Rua do Imperador,Restaurante Dom Pedro,Gabinete Português de Leitura,,,,,,,,,,,,,"CH-0021 — Arquivo Público
Classificação: Local / Biblioteca / Santo Antônio
Descrição: O Arquivo Público guarda parte importante da história de Pernambuco em documentos, mapas, leis, jornais, livros e manuscritos preservados para garantir um futuro ao nosso passado. O acervo do Arquivo Público Estadual está em contínua expansão. E, para tornar o seu valioso conteúdo cada vez mais acessível, é preciso se manter em constante modernização.
Interconexões: Rua do Imperador; Restaurante Dom Pedro; Gabinete Português de Leitura",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
CH-0022,Arsenal da Marinha,Local,Praça,Recife Antigo,http://domingosluna.com.br/wp-content/uploads/2010/06/080720_parsenal_pano.jpg,"O Arsenal da Marinha de Pernambuco foi um edifício sede da Marinha do Brasil na cidade de Recife, capital do estado brasileiro de Pernambuco.",Porto do Recife,Praça do Arsenal,Rua do Bom Jesus,Barreto de Menezes,Frei Caneca,,,,,,,,,,,"CH-0022 — Arsenal da Marinha
Classificação: Local / Praça / Recife Antigo
Descrição: O Arsenal da Marinha de Pernambuco foi um edifício sede da Marinha do Brasil na cidade de Recife, capital do estado brasileiro de Pernambuco.
Interconexões: Porto do Recife; Praça do Arsenal; Rua do Bom Jesus; Barreto de Menezes; Frei Caneca",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
